buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,houseType,monthlyRent,preDeposit,preMonthlyRent,sggCd,totalFloorAr,umdNm,useRRRight,lawd_cd,deal_ym,sggNm
2003,,,9,7,2024,500,다가구,35,,,41111,21,율전동,,41111,202407,
1995,,,30,7,2024,500,단독,30,,,41111,42,정자동,,41111,202407,
2017,,,24,7,2024,"1,000",단독,65,,,41111,56.1,율전동,,41111,202407,
1994,,,20,7,2024,500,다가구,37,,,41111,33,영화동,,41111,202407,
1984,,,19,7,2024,"2,500",단독,60,,,41111,69.72,연무동,,41111,202407,
,,,29,7,2024,300,다가구,30,,,41111,27,정자동,,41111,202407,
,,,25,7,2024,"1,000",다가구,45,,,41111,30,영화동,,41111,202407,
1995,,,16,7,2024,300,단독,33,,,41111,16.53,율전동,,41111,202407,
2002,,,16,7,2024,"1,000",단독,80,,,41111,45,천천동,,41111,202407,
1964,,,15,7,2024,"4,500",단독,0,,,41111,24.51,연무동,,41111,202407,
,,,13,7,2024,"20,000",다가구,0,,,41111,65.1,천천동,,41111,202407,
,,,12,7,2024,500,단독,35,,,41111,20,천천동,,41111,202407,
1996,,,10,7,2024,"5,000",단독,0,,,41111,23,연무동,,41111,202407,
2010,,,3,7,2024,500,단독,35,,,41111,25,정자동,,41111,202407,
,,,3,7,2024,"12,500",다가구,0,,,41111,36,송죽동,,41111,202407,
2004,,,6,7,2024,500,다가구,50,,,41111,41,연무동,,41111,202407,
,,,20,7,2024,"4,000",단독,20,,,41111,18,율전동,,41111,202407,
2000,24.08~26.08,신규,23,7,2024,"2,000",단독,65,,,41111,60,천천동,,41111,202407,
2022,24.07~26.07,신규,23,7,2024,"1,000",다가구,65,,,41111,44.12,파장동,,41111,202407,
2001,24.08~26.08,신규,25,7,2024,500,다가구,40,,,41111,195,영화동,,41111,202407,
,24.07~25.07,신규,17,7,2024,200,다가구,29,,,41111,146.08,연무동,,41111,202407,
1998,24.07~26.07,신규,8,7,2024,300,다가구,35,,,41111,16,영화동,,41111,202407,
2003,24.08~26.08,신규,20,7,2024,"2,000",다가구,50,,,41111,55,영화동,,41111,202407,
2010,24.08~25.07,신규,4,7,2024,500,다가구,30,,,41111,16.5,율전동,,41111,202407,
,24.07~26.07,신규,13,7,2024,500,다가구,30,,,41111,13.97,송죽동,,41111,202407,
,24.09~26.09,신규,23,7,2024,"4,000",다가구,50,,,41111,15,영화동,,41111,202407,
1991,24.09~26.09,신규,24,7,2024,300,다가구,25,,,41111,173.8,송죽동,,41111,202407,
1995,24.07~26.07,신규,5,7,2024,"4,000",단독,20,,,41111,68,조원동,,41111,202407,
1993,24.07~25.07,신규,25,7,2024,500,다가구,30,,,41111,111.4,정자동,,41111,202407,
,24.07~25.07,갱신,11,7,2024,500,다가구,40,500,38,41111,23,정자동,,41111,202407,
