buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,houseType,jibun,plottageAr,sggCd,slerGbn,totalFloorAr,umdNm,lawd_cd,deal_ym,sggNm
1993.0,,,,"24,000",27,1,2022,중개거래,경기 수원장안구,다가구,6*,92.0,41111,,164.16,연무동,41111,202201,
1980.0,,,,"21,000",13,1,2022,중개거래,경기 안산상록구,단독,1**,71.0,41111,,73.26,연무동,41111,202201,
1994.0,,,,"27,000",8,1,2022,중개거래,경기 수원장안구,다가구,6*,102.0,41111,,159.47,연무동,41111,202201,
1964.0,,,,"15,000",26,1,2022,중개거래,경기 수원장안구 경기 수원팔달구,단독,6*,79.0,41111,,28.39,연무동,41111,202201,
1996.0,,,,"56,000",27,1,2022,중개거래,경기 수원장안구,다가구,4**,139.2,41111,,316.35,영화동,41111,202201,
1991.0,,,,"66,000",12,1,2022,중개거래,경기 수원장안구 경기 안양동안구,단독,4**,155.9,41111,,298.18,영화동,41111,202201,
1991.0,,22.02.25,O,"180,000",4,1,2022,중개거래,경기 수원장안구,단독,4**,206.5,41111,,602.19,영화동,41111,202201,
2011.0,,,,"95,000",8,1,2022,중개거래,경기 수원장안구,단독,4**,181.8,41111,,361.8,영화동,41111,202201,
2012.0,,,,"90,000",11,1,2022,중개거래,경기 수원장안구,다가구,4**,266.2,41111,,405.84,영화동,41111,202201,
1993.0,,,,"164,000",20,1,2022,중개거래,경기 수원장안구,다가구,6*,402.2,41111,,977.79,정자동,41111,202201,
1990.0,,,,"95,000",19,1,2022,중개거래,경기 수원장안구,단독,3*,274.3,41111,,316.29,정자동,41111,202201,
2004.0,,,,"84,900",27,1,2022,중개거래,경기 수원장안구,다가구,7**,202.2,41111,,440.73,조원동,41111,202201,
2012.0,,,,"73,900",21,1,2022,중개거래,경기 수원장안구,다가구,7**,134.2,41111,,254.32,조원동,41111,202201,
2003.0,,,,"96,000",20,1,2022,중개거래,경기 수원권선구 서울 강남구,다가구,8**,215.1,41111,,486.34,조원동,41111,202201,
1986.0,,25.02.06,O,"340,000",24,1,2022,중개거래,경기 수원시 권선구,단독,3*,812.0,41113,,304.32,고색동,41113,202201,
1985.0,,,,"29,310",7,1,2022,중개거래,경기 수원권선구,단독,2**,125.0,41113,,87.03,고색동,41113,202201,
2004.0,,,,"118,000",20,1,2022,중개거래,경기 수원권선구,다가구,5**,214.7,41113,,462.33,곡반정동,41113,202201,
2007.0,,,,"145,000",9,1,2022,중개거래,경기 수원권선구,다가구,5**,324.9,41113,,788.38,곡반정동,41113,202201,
2004.0,,,,"250,000",10,1,2022,중개거래,경기 수원권선구 서울 서초구,다가구,5**,526.2,41113,,1167.03,곡반정동,41113,202201,
2001.0,,,,"106,000",6,1,2022,중개거래,경기 수원권선구,단독,1***,249.7,41113,,566.45,권선동,41113,202201,
1971.0,,,,"44,700",26,1,2022,중개거래,경기 수원권선구,단독,3**,86.0,41113,,31.74,서둔동,41113,202201,
1986.0,,,,"25,000",21,1,2022,중개거래,경기 수원권선구,단독,1***,137.7,41113,,113.64,세류동,41113,202201,
1993.0,,,,"78,000",15,1,2022,중개거래,경기 수원장안구,단독,1***,154.7,41113,,493.43,세류동,41113,202201,
1986.0,,22.07.29,O,"26,000",21,1,2022,중개거래,경기 수원권선구,단독,1***,137.7,41113,,113.64,세류동,41113,202201,
1983.0,,,,"54,000",24,1,2022,중개거래,경기 수원권선구,다가구,2**,159.5,41113,,202.54,세류동,41113,202201,
1993.0,,,,"81,000",10,1,2022,중개거래,경기 수원권선구,단독,3**,635.0,41113,,154.62,입북동,41113,202201,
2017.0,,,,"165,000",15,1,2022,중개거래,경기 수원권선구,다가구,1***,273.9,41113,,494.86,호매실동,41113,202201,
1999.0,,,,"55,000",16,1,2022,중개거래,경기 수원장안구 경기 수원팔달구,단독,1*,141.0,41115,,248.94,고등동,41115,202201,
1977.0,,,,"52,500",15,1,2022,중개거래,경기 수원팔달구,단독,1*,190.0,41115,,87.37,고등동,41115,202201,
1999.0,,,,"164,850",24,1,2022,직거래,,다가구,9*,447.0,41115,,681.87,고등동,41115,202201,
2002.0,,,,"250,000",26,1,2022,중개거래,경기 수원팔달구,다가구,5**,496.3,41115,,1169.31,우만동,41115,202201,
1986.0,,,,"39,000",21,1,2022,중개거래,경기 수원팔달구,다가구,4**,146.2,41115,,135.61,우만동,41115,202201,
1991.0,,,,"77,000",12,1,2022,중개거래,경기 수원팔달구,다가구,5**,160.0,41115,,379.98,우만동,41115,202201,
1999.0,,,,"56,500",18,1,2022,직거래,,다가구,5**,205.0,41115,,385.32,우만동,41115,202201,
1999.0,,,,"23,120",11,1,2022,중개거래,경기 수원영통구,단독,7**,60.0,41115,,20.5,인계동,41115,202201,
1989.0,,,,"75,000",3,1,2022,중개거래,경기 수원팔달구,다가구,3**,140.0,41115,,238.25,장안동,41115,202201,
1990.0,,,,"45,000",14,1,2022,중개거래,경기 수원팔달구,다가구,1**,169.0,41115,,210.94,지동,41115,202201,
1994.0,,,,"30,500",26,1,2022,중개거래,경기 수원시 팔달구,다가구,1**,92.0,41115,,132.91,지동,41115,202201,
1978.0,,,,"45,000",10,1,2022,중개거래,경기 수원팔달구,단독,1**,208.0,41115,,156.27,지동,41115,202201,
2018.0,,,,"28,300",11,1,2022,중개거래,경기 수원팔달구,단독,2**,101.0,41115,,56.23,지동,41115,202201,
1995.0,,,,"88,000",25,1,2022,중개거래,경기 수원팔달구,다가구,1**,158.0,41115,,279.27,화서동,41115,202201,
1990.0,,,,"41,000",25,1,2022,중개거래,경기 수원팔달구,다가구,1**,131.6,41115,,210.42,화서동,41115,202201,
2020.0,,,,"330,000",12,1,2022,중개거래,경기 수원영통구,다가구,*,369.0,41117,,857.89,망포동,41117,202201,
2019.0,,,,"180,000",29,1,2022,중개거래,경기 수원시 권선구,다가구,1**,274.1,41117,,480.118,매탄동,41117,202201,
2003.0,,,,"105,000",17,1,2022,중개거래,경기 수원영통구,다가구,4**,264.0,41117,,587.28,매탄동,41117,202201,
2002.0,,,,"92,000",5,1,2022,중개거래,경기 수원영통구,다가구,1***,210.0,41117,,456.29,매탄동,41117,202201,
2018.0,,,,"80,000",5,2,2022,중개거래,경기 수원장안구,다가구,2**,148.0,41111,,262.69,송죽동,41111,202202,
1989.0,,,,"65,000",5,2,2022,중개거래,경기 수원장안구,단독,4**,180.7,41111,,293.61,송죽동,41111,202202,
2018.0,,22.12.09,O,"75,000",24,2,2022,중개거래,경기 수원장안구,다가구,1**,115.0,41111,,211.98,연무동,41111,202202,
2021.0,,,,"215,000",19,2,2022,중개거래,경기 수원장안구,다가구,2**,298.7,41111,,589.51,연무동,41111,202202,
1984.0,,,,"82,000",12,2,2022,중개거래,경기 수원장안구,단독,2**,162.9,41111,,184.28,연무동,41111,202202,
1974.0,,,,"14,500",15,2,2022,중개거래,경기 수원장안구,단독,3*,56.0,41111,,33.19,영화동,41111,202202,
1974.0,,,,"20,000",10,2,2022,중개거래,경기 수원장안구,단독,3*,93.0,41111,,31.93,영화동,41111,202202,
2021.0,,,,"178,000",25,2,2022,중개거래,경기 수원장안구,다가구,4*,199.2,41111,,396.66,정자동,41111,202202,
1989.0,,,,"44,000",24,2,2022,중개거래,경기 수원장안구,다가구,4**,164.0,41111,,263.94,조원동,41111,202202,
1987.0,,,,"33,800",24,2,2022,중개거래,경기 수원장안구,단독,4**,113.0,41111,,135.61,조원동,41111,202202,
1988.0,,,,"39,300",24,2,2022,중개거래,경기 수원장안구,다가구,4**,135.0,41111,,223.18,조원동,41111,202202,
1987.0,,,,"49,000",24,2,2022,중개거래,경기 수원장안구,단독,4**,113.0,41111,,132.2,조원동,41111,202202,
1991.0,,,,"13,000",4,2,2022,중개거래,경기 수원팔달구,단독,6**,33.0,41111,,42.05,조원동,41111,202202,
1997.0,,,,"93,960",26,2,2022,중개거래,경기 수원권선구 경기 수원팔달구,단독,3**,259.0,41113,,345.23,구운동,41113,202202,
1991.0,,,,"41,000",26,2,2022,중개거래,경기 수원시 권선구,단독,5**,184.7,41113,,299.4,구운동,41113,202202,
1990.0,,,,"75,000",21,2,2022,중개거래,경기 수원권선구,다가구,5**,202.9,41113,,356.4,구운동,41113,202202,
1988.0,,,,"81,000",11,2,2022,중개거래,경기 수원권선구 경기 수원팔달구,단독,1***,225.2,41113,,183.35,권선동,41113,202202,
1991.0,,,,"98,000",21,2,2022,중개거래,경기 수원권선구,단독,1***,249.9,41113,,364.2,권선동,41113,202202,
1978.0,,,,"143,000",18,2,2022,중개거래,경기 수원팔달구,다가구,1**,449.0,41113,,146.48,서둔동,41113,202202,
1987.0,,,,"23,500",18,2,2022,중개거래,경기 수원권선구,다가구,4**,119.9,41113,,113.42,세류동,41113,202202,
1989.0,,,,"55,000",11,2,2022,중개거래,경기 수원권선구,단독,3**,142.9,41113,,229.7,세류동,41113,202202,
2004.0,,,,"62,000",25,2,2022,중개거래,경기 수원권선구,다가구,7**,131.2,41113,,372.15,탑동,41113,202202,
2008.0,,,,"74,500",18,2,2022,중개거래,경기 수원권선구,다가구,2**,185.0,41113,,457.42,탑동,41113,202202,
1970.0,,,,"115,000",15,2,2022,중개거래,경기 수원권선구 경기 수원팔달구,단독,4*,338.0,41113,,50.68,평동,41113,202202,
1998.0,,,,"280,000",14,2,2022,중개거래,경기 수원권선구 서울 서초구,단독,4**,633.0,41113,,1376.46,호매실동,41113,202202,
1956.0,,,,"56,000",25,2,2022,중개거래,경기 수원팔달구,단독,9*,139.0,41115,,29.42,고등동,41115,202202,
1999.0,,,,"140,000",21,2,2022,중개거래,경기 수원권선구,단독,3*,248.0,41115,,163.45,신풍동,41115,202202,
1965.0,,,,"34,000",21,2,2022,중개거래,경기 수원팔달구,단독,3*,83.0,41115,,40.33,신풍동,41115,202202,
1996.0,,,,"119,000",21,2,2022,중개거래,경기 수원팔달구,다가구,9**,286.4,41115,,645.52,인계동,41115,202202,
1988.0,,22.03.24,O,"80,000",8,2,2022,중개거래,경기 수원팔달구,단독,1***,169.8,41115,,179.49,인계동,41115,202202,
1995.0,,,,"140,000",8,2,2022,중개거래,경기 수원팔달구 서울 강남구,다가구,8*,234.0,41115,,322.97,장안동,41115,202202,
1975.0,,,,"33,000",15,2,2022,중개거래,경기 수원팔달구,단독,2**,112.0,41115,,52.09,지동,41115,202202,
1994.0,,,,"150,000",17,2,2022,중개거래,경기 수원장안구 경기 수원팔달구,다가구,4**,197.4,41115,,299.87,지동,41115,202202,
1994.0,,,,"200,168",17,2,2022,중개거래,경기 수원장안구 경기 수원팔달구,다가구,4**,599.9,41115,,248.46,지동,41115,202202,
1999.0,,,,"28,000",15,2,2022,중개거래,경기 수원권선구 경기 수원팔달구,단독,2**,182.0,41115,,85.23,지동,41115,202202,
1971.0,,,,"21,000",7,2,2022,중개거래,경기 수원팔달구,단독,1**,112.0,41115,,52.89,지동,41115,202202,
1999.0,,,,"55,500",17,2,2022,중개거래,경기 수원팔달구,단독,3**,164.7,41115,,139.17,지동,41115,202202,
1999.0,,,,"16,400",6,2,2022,직거래,,단독,2**,149.0,41115,,142.56,화서동,41115,202202,
1990.0,,,,"82,400",23,2,2022,중개거래,경기 수원영통구,단독,8**,214.9,41117,,417.4,매탄동,41117,202202,
1989.0,,,,"59,000",15,2,2022,중개거래,경기 수원시 영통구,다가구,1**,219.3,41117,,234.99,매탄동,41117,202202,
2002.0,,,,"90,000",4,2,2022,중개거래,경기 수원영통구 경기 수원장안구,다가구,1***,196.0,41117,,415.3,매탄동,41117,202202,
2017.0,,,,"102,200",24,2,2022,중개거래,경기,단독,1***,255.9342,41117,,172.77,영통동,41117,202202,
2014.0,,,,"212,000",16,2,2022,중개거래,경기 수원영통구,다가구,1***,269.3,41117,,483.89,이의동,41117,202202,
1989.0,,,,"67,500",15,3,2022,중개거래,경기 수원장안구,단독,4**,180.2,41111,,273.57,송죽동,41111,202203,
1983.0,,,,"49,000",30,3,2022,중개거래,경기 수원장안구,단독,2**,133.5,41111,,137.8,연무동,41111,202203,
1991.0,,,,"25,000",14,3,2022,중개거래,경기 수원장안구,단독,5*,86.0,41111,,147.67,연무동,41111,202203,
1995.0,,,,"15,800",16,3,2022,직거래,,단독,6*,104.0,41111,,157.8,연무동,41111,202203,
