buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,houseType,jibun,plottageAr,sggCd,slerGbn,totalFloorAr,umdNm,lawd_cd,deal_ym,sggNm
2004,,,,"84,900",27,1,2022,중개거래,경기 수원장안구,다가구,7**,202.2,41111,,440.73,조원동,41111,202201,
1993,,,,"24,000",27,1,2022,중개거래,경기 수원장안구,다가구,6*,92,41111,,164.16,연무동,41111,202201,
1996,,,,"56,000",27,1,2022,중개거래,경기 수원장안구,다가구,4**,139.2,41111,,316.35,영화동,41111,202201,
1993,,,,"164,000",20,1,2022,중개거래,경기 수원장안구,다가구,6*,402.2,41111,,977.79,정자동,41111,202201,
1980,,,,"21,000",13,1,2022,중개거래,경기 안산상록구,단독,1**,71,41111,,73.26,연무동,41111,202201,
1990,,,,"95,000",19,1,2022,중개거래,경기 수원장안구,단독,3*,274.3,41111,,316.29,정자동,41111,202201,
1994,,,,"27,000",8,1,2022,중개거래,경기 수원장안구,다가구,6*,102,41111,,159.47,연무동,41111,202201,
2012,,,,"73,900",21,1,2022,중개거래,경기 수원장안구,다가구,7**,134.2,41111,,254.32,조원동,41111,202201,
1991,,,,"66,000",12,1,2022,중개거래,경기 수원장안구 경기 안양동안구,단독,4**,155.9,41111,,298.18,영화동,41111,202201,
1991,,22.02.25,O,"180,000",4,1,2022,중개거래,경기 수원장안구,단독,4**,206.5,41111,,602.19,영화동,41111,202201,
1964,,,,"15,000",26,1,2022,중개거래,경기 수원장안구 경기 수원팔달구,단독,6*,79,41111,,28.39,연무동,41111,202201,
2011,,,,"95,000",8,1,2022,중개거래,경기 수원장안구,단독,4**,181.8,41111,,361.8,영화동,41111,202201,
2012,,,,"90,000",11,1,2022,중개거래,경기 수원장안구,다가구,4**,266.2,41111,,405.84,영화동,41111,202201,
2003,,,,"96,000",20,1,2022,중개거래,경기 수원권선구 서울 강남구,다가구,8**,215.1,41111,,486.34,조원동,41111,202201,
1989,,,,"44,000",24,2,2022,중개거래,경기 수원장안구,다가구,4**,164,41111,,263.94,조원동,41111,202202,
1987,,,,"33,800",24,2,2022,중개거래,경기 수원장안구,단독,4**,113,41111,,135.61,조원동,41111,202202,
1988,,,,"39,300",24,2,2022,중개거래,경기 수원장안구,다가구,4**,135,41111,,223.18,조원동,41111,202202,
1987,,,,"49,000",24,2,2022,중개거래,경기 수원장안구,단독,4**,113,41111,,132.2,조원동,41111,202202,
2018,,22.12.09,O,"75,000",24,2,2022,중개거래,경기 수원장안구,다가구,1**,115,41111,,211.98,연무동,41111,202202,
2021,,,,"178,000",25,2,2022,중개거래,경기 수원장안구,다가구,4*,199.2,41111,,396.66,정자동,41111,202202,
2021,,,,"215,000",19,2,2022,중개거래,경기 수원장안구,다가구,2**,298.7,41111,,589.51,연무동,41111,202202,
1984,,,,"82,000",12,2,2022,중개거래,경기 수원장안구,단독,2**,162.9,41111,,184.28,연무동,41111,202202,
1991,,,,"13,000",4,2,2022,중개거래,경기 수원팔달구,단독,6**,33,41111,,42.05,조원동,41111,202202,
2018,,,,"80,000",5,2,2022,중개거래,경기 수원장안구,다가구,2**,148,41111,,262.69,송죽동,41111,202202,
1989,,,,"65,000",5,2,2022,중개거래,경기 수원장안구,단독,4**,180.7,41111,,293.61,송죽동,41111,202202,
1974,,,,"14,500",15,2,2022,중개거래,경기 수원장안구,단독,3*,56,41111,,33.19,영화동,41111,202202,
1974,,,,"20,000",10,2,2022,중개거래,경기 수원장안구,단독,3*,93,41111,,31.93,영화동,41111,202202,
1988,,,,"88,000",31,3,2022,중개거래,경기 수원장안구,단독,3**,218.3,41111,,294.69,영화동,41111,202203,
1993,,22.08.23,O,"60,000",28,3,2022,중개거래,경기 수원장안구,단독,1**,167,41111,,239.78,율전동,41111,202203,
1997,,22.08.23,O,"79,000",28,3,2022,중개거래,경기 수원장안구,단독,1**,204,41111,,327.36,율전동,41111,202203,
1982,,,,"55,200",26,3,2022,중개거래,경기 수원장안구,단독,3**,164.4,41111,,97.92,영화동,41111,202203,
1983,,,,"49,000",30,3,2022,중개거래,경기 수원장안구,단독,2**,133.5,41111,,137.8,연무동,41111,202203,
1989,,,,"67,500",15,3,2022,중개거래,경기 수원장안구,단독,4**,180.2,41111,,273.57,송죽동,41111,202203,
1991,,,,"25,000",14,3,2022,중개거래,경기 수원장안구,단독,5*,86,41111,,147.67,연무동,41111,202203,
1988,,,,"57,000",15,3,2022,중개거래,경기 수원장안구,다가구,5**,121.7,41111,,202.64,파장동,41111,202203,
1988,,,,"45,000",15,3,2022,중개거래,경기 수원장안구,다가구,5**,147.8,41111,,219.6,파장동,41111,202203,
1994,,,,"174,500",31,3,2022,중개거래,경기 수원팔달구,단독,5**,333,41111,,795.02,파장동,41111,202203,
1994,,,,"68,000",31,3,2022,중개거래,경기 수원팔달구,다가구,5**,214,41111,,295.74,파장동,41111,202203,
2002,,,,"101,000",2,3,2022,중개거래,경기 수원장안구,다가구,5**,203.8,41111,,312.01,천천동,41111,202203,
1994,,,,"50,000",15,3,2022,직거래,,단독,1**,185,41111,,230.8,율전동,41111,202203,
1990,,,,"52,500",19,3,2022,중개거래,경기 수원시 장안구,다가구,1**,223,41111,,227.22,율전동,41111,202203,
1977,,22.06.15,O,"43,000",4,3,2022,중개거래,경기 수원장안구,단독,4**,197.4,41111,,156.15,영화동,41111,202203,
1993,,,,"59,000",1,3,2022,중개거래,경기 수원장안구,다가구,2**,159,41111,,227.19,율전동,41111,202203,
1995,,,,"15,800",16,3,2022,직거래,,단독,6*,104,41111,,157.8,연무동,41111,202203,
2016,,,,"88,000",2,3,2022,중개거래,경기 수원팔달구,다가구,7**,157.7,41111,,253.7,조원동,41111,202203,
1989,,22.06.27,O,"70,000",27,4,2022,중개거래,경기 수원장안구,단독,7**,175.2,41111,,414.12,조원동,41111,202204,
2022,,,,"132,000",29,4,2022,중개거래,경기 수원장안구,다가구,5**,186.5,41111,,390.41,파장동,41111,202204,
1988,,,,"39,000",26,4,2022,중개거래,경기 수원장안구,단독,7**,123,41111,,147.41,조원동,41111,202204,
1985,,,,"57,400",20,4,2022,중개거래,경기 수원장안구,단독,2**,139,41111,,165.03,영화동,41111,202204,
1991,,,,"60,200",30,4,2022,중개거래,경기 수원장안구,단독,2**,144,41111,,199.23,천천동,41111,202204,
1996,,,,"22,000",19,4,2022,중개거래,경기 수원장안구,단독,6**,66,41111,,49.4,조원동,41111,202204,
1988,,,,"91,000",27,4,2022,중개거래,경기 수원장안구,단독,4**,199,41111,,245.36,율전동,41111,202204,
2016,,,,"123,000",12,4,2022,중개거래,경기 수원장안구,다가구,4**,362,41111,,474.6,조원동,41111,202204,
1974,,,,"23,800",12,4,2022,중개거래,경기 수원장안구 경기 수원팔달구,단독,3*,86,41111,,33.72,영화동,41111,202204,
1982,,,,"59,000",9,4,2022,중개거래,경기 수원장안구,단독,4**,158,41111,,163.4,율전동,41111,202204,
1997,,,,"49,000",19,4,2022,중개거래,경기 수원장안구,단독,4**,126.4,41111,,222.75,영화동,41111,202204,
1993,,,,"61,000",4,4,2022,중개거래,경기 수원장안구,다가구,3*,206.1,41111,,355.26,정자동,41111,202204,
1983,,,,"63,500",2,4,2022,중개거래,경기 수원장안구,단독,4*,149.3,41111,,166.07,정자동,41111,202204,
1981,,,,"82,500",5,4,2022,중개거래,경기 수원장안구,다가구,5**,248,41111,,250.17,조원동,41111,202204,
2002,,,,"88,000",2,4,2022,중개거래,경기 수원장안구,다가구,8**,237.7,41111,,501.36,조원동,41111,202204,
1979,,,,"105,000",4,4,2022,중개거래,경기 수원장안구 경기 수원팔달구,단독,4**,303.8,41111,,201.28,영화동,41111,202204,
1983,,,,"44,800",5,4,2022,중개거래,경기 수원장안구,단독,4**,150.3,41111,,144.48,영화동,41111,202204,
1984,,,,"63,000",1,4,2022,중개거래,경기 수원장안구,단독,7**,206.9,41111,,162.48,조원동,41111,202204,
1979,,22.04.26,O,"105,000",4,4,2022,중개거래,경기 수원장안구 경기 수원팔달구,단독,4**,303.8,41111,,201.28,영화동,41111,202204,
1988,,,,"46,500",24,5,2022,중개거래,경기 수원장안구,단독,4**,199,41111,,298.96,조원동,41111,202205,
1982,,,,"60,000",30,5,2022,직거래,,단독,4**,158,41111,,163.4,율전동,41111,202205,
2018,,,,"180,000",19,5,2022,중개거래,경기 수원장안구,다가구,4**,189,41111,,368.54,율전동,41111,202205,
1989,,,,"37,800",20,5,2022,중개거래,경기 수원장안구,단독,4**,107.4,41111,,182.61,송죽동,41111,202205,
2002,,,,"84,000",31,5,2022,중개거래,경기 수원장안구,다가구,8**,234.1,41111,,502.68,조원동,41111,202205,
1981,,,,"55,000",14,5,2022,중개거래,경기 수원장안구,단독,2**,190,41111,,114.54,연무동,41111,202205,
1982,,,,"41,700",10,5,2022,중개거래,경기 수원장안구,단독,4**,172.4,41111,,146.78,영화동,41111,202205,
1982,,,,"43,100",10,5,2022,중개거래,경기 수원장안구,단독,4**,178.2,41111,,140.8,영화동,41111,202205,
1972,,,,"23,600",9,5,2022,직거래,,단독,8**,142,41111,,48.26,이목동,41111,202205,
1989,,,,"43,000",30,5,2022,중개거래,경기 수원장안구 서울 성동구,단독,5**,153.5,41111,,253.05,파장동,41111,202205,
1987,,,,"49,000",14,5,2022,중개거래,경기 수원장안구,단독,1**,158,41111,,178.29,영화동,41111,202205,
1996,,,,"112,000",7,5,2022,중개거래,경기 수원장안구,다가구,9*,270,41111,,636.75,영화동,41111,202205,
1985,,,,"50,000",4,5,2022,중개거래,경기 수원장안구,단독,7**,197.1,41111,,232.92,조원동,41111,202205,
1997,,,,"21,500",18,5,2022,중개거래,경기 수원장안구,단독,6**,59,41111,,78.29,조원동,41111,202205,
1984,,,,"130,000",2,5,2022,중개거래,경기 수원시 장안구,단독,2**,186.4,41111,,218.7,연무동,41111,202205,
1990,,,,"74,250",11,5,2022,중개거래,경기 수원장안구,단독,2**,182,41111,,243.51,천천동,41111,202205,
1964,,,,"23,400",3,5,2022,중개거래,경기 수원장안구,단독,6*,86,41111,,24.56,연무동,41111,202205,
1984,,,,"44,000",16,5,2022,중개거래,경기 수원장안구,단독,2**,118.5,41111,,116.01,연무동,41111,202205,
2002,,,,"84,000",19,5,2022,중개거래,경기 수원장안구,단독,8**,217,41111,,486.84,조원동,41111,202205,
1995,,,,"32,000",14,5,2022,중개거래,경기 수원장안구,다가구,2**,109,41111,,189.15,송죽동,41111,202205,
1985,,,,"50,500",19,5,2022,직거래,,단독,4**,284,41111,,94.9,정자동,41111,202205,
1964,,,,"22,000",10,5,2022,중개거래,경기 수원장안구,단독,1**,40,41111,,34.51,연무동,41111,202205,
2008,,,,"29,000",10,5,2022,중개거래,경기 수원팔달구,단독,3*,92,41111,,80.48,영화동,41111,202205,
1994,,,,"27,500",1,5,2022,중개거래,경기 수원장안구,단독,1**,102,41111,,83.98,영화동,41111,202205,
