model,feature_set,roc_auc,pr_auc,f1,precision,recall
mlp,core,0.6786938645345726,0.19327981329097332,0.0,0.0,0.0
logistic,full,0.6934886846391272,0.18583374659389412,0.19742489270386265,0.11774744027303755,0.6106194690265486
logistic,core,0.6903452124691062,0.18454137691388245,0.1917024320457797,0.11433447098976109,0.5929203539823009
logistic,core_plus,0.6893771141558753,0.175307250410954,0.191027496382055,0.11418685121107267,0.584070796460177
grad_boost,core_plus,0.6662253277297525,0.16864820858605994,0.06504065040650407,0.4,0.035398230088495575
random_forest,full,0.6311089850912861,0.15942488411682668,0.11428571428571428,0.2962962962962963,0.07079646017699115
random_forest,core_plus,0.6283299734627168,0.1511766994102007,0.1437125748502994,0.2222222222222222,0.10619469026548672
grad_boost,full,0.6528370975273631,0.14972246086911903,0.03361344537815126,0.3333333333333333,0.017699115044247787
grad_boost,core,0.6718943975581144,0.1421203581420012,0.04838709677419355,0.2727272727272727,0.02654867256637168
xgboost,full,0.6169348868463913,0.14103507279614347,0.14035087719298245,0.1391304347826087,0.1415929203539823
mlp,raw,0.6391043382193825,0.13974588580674824,0.017094017094017096,0.25,0.008849557522123894
mlp,core_plus,0.6298675413719662,0.13967812531865628,0.017094017094017096,0.25,0.008849557522123894
random_forest,raw,0.6303003382649401,0.13889756857230434,0.08759124087591241,0.25,0.05309734513274336
grad_boost,raw,0.6283157367228164,0.13350289305037513,0.017391304347826087,0.5,0.008849557522123894
xgboost,core,0.6060665596063826,0.13217613826222308,0.18857142857142858,0.13924050632911392,0.2920353982300885
mlp,full,0.645852552932199,0.12854709018242294,0.10071942446043165,0.2692307692307692,0.061946902654867256
lightgbm,raw,0.580545779660824,0.12315490370315513,0.10714285714285714,0.16363636363636364,0.07964601769911504
random_forest,core,0.6199530757052881,0.12293752464745444,0.14358974358974358,0.17073170731707318,0.12389380530973451
xgboost,raw,0.6003804056901403,0.12293621312464659,0.145748987854251,0.13432835820895522,0.1592920353982301
lightgbm,full,0.5843498365622259,0.12040309777910015,0.125,0.2127659574468085,0.08849557522123894
xgboost,core_plus,0.6154884340725049,0.1181404038529888,0.14869888475836432,0.1282051282051282,0.17699115044247787
lightgbm,core,0.5933132880035534,0.1150330854982888,0.16030534351145037,0.14093959731543623,0.18584070796460178
lightgbm,core_plus,0.5765708818806163,0.10031011173836593,0.10152284263959391,0.11904761904761904,0.08849557522123894
logistic,raw,0.6171057277251968,0.09575398542724023,0.15614973262032086,0.08880778588807786,0.6460176991150443
